;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 20/01/2014 11:48:58
;----------------------------------------------

;Address Opcode 	ASM
0x0162	0x3E4F      	ADDLW      Data_Eeprom_Read_donnees_L0
0x0163	0x00E6      	MOVWF      FLOC__Data_Eeprom_Read
0x0164	0x084D      	MOVF       Data_Eeprom_Read_indice_L0, 0
0x0165	0x0765      	ADDWF      Data_Eeprom_Read_address_L0, 0
0x0166	0x00E7      	MOVWF      FARG_EEPROM_Read_Address
0x0167	0x202E      	CALL       _EEPROM_Read
0x0168	0x1303      	BCF        STATUS, 6
0x0169	0x0866      	MOVF       FLOC__Data_Eeprom_Read, 0
0x016A	0x0084      	MOVWF      FSR
0x016B	0x0870      	MOVF       R0, 0
0x016C	0x0080      	MOVWF      INDF
;TP_memory.c,81 :: 		Delay_ms(250);
0x016D	0x3003      	MOVLW      3
0x016E	0x00FB      	MOVWF      R11
0x016F	0x308A      	MOVLW      138
0x0170	0x00FC      	MOVWF      R12
0x0171	0x3055      	MOVLW      85
0x0172	0x00FD      	MOVWF      R13
L_Data_Eeprom_Read5:
0x0173	0x0BFD      	DECFSZ     R13, 1
0x0174	0x2973      	GOTO       L_Data_Eeprom_Read5
0x0175	0x0BFC      	DECFSZ     R12, 1
0x0176	0x2973      	GOTO       L_Data_Eeprom_Read5
0x0177	0x0BFB      	DECFSZ     R11, 1
0x0178	0x2973      	GOTO       L_Data_Eeprom_Read5
0x0179	0x0000      	NOP
0x017A	0x0000      	NOP
;TP_memory.c,78 :: 		for (indice = 0; indice < 21; ++indice)
0x017B	0x0ACD      	INCF       Data_Eeprom_Read_indice_L0, 1
0x017C	0x1903      	BTFSC      STATUS, 2
0x017D	0x0ACE      	INCF       Data_Eeprom_Read_indice_L0+1, 1
;TP_memory.c,82 :: 		}
0x017E	0x2956      	GOTO       L_Data_Eeprom_Read2
L_Data_Eeprom_Read3:
;TP_memory.c,83 :: 		donnees[21]='\0';
0x017F	0x01E4      	CLRF       Data_Eeprom_Read_donnees_L0+21
;TP_memory.c,85 :: 		return donnees;
0x0180	0x304F      	MOVLW      Data_Eeprom_Read_donnees_L0
0x0181	0x00F0      	MOVWF      R0
;TP_memory.c,86 :: 		}
0x0182	0x0008      	RETURN
; end of _Data_Eeprom_Read
_UART1_Write_Text:
;__Lib_UART_c67.c,47 :: 		
;__Lib_UART_c67.c,48 :: 		
0x0183	0x1283      	BCF        STATUS, 5
0x0184	0x1303      	BCF        STATUS, 6
0x0185	0x01CD      	CLRF       UART1_Write_Text_counter_L0
;__Lib_UART_c67.c,50 :: 		
0x0186	0x084B      	MOVF       FARG_UART1_Write_Text_uart_text, 0
0x0187	0x0084      	MOVWF      FSR
0x0188	0x0800      	MOVF       INDF, 0
0x0189	0x00CC      	MOVWF      UART1_Write_Text_data__L0
;__Lib_UART_c67.c,51 :: 		
L_UART1_Write_Text5:
0x018A	0x084C      	MOVF       UART1_Write_Text_data__L0, 0
0x018B	0x3A00      	XORLW      0
0x018C	0x1903      	BTFSC      STATUS, 2
0x018D	0x2998      	GOTO       L_UART1_Write_Text6
;__Lib_UART_c67.c,52 :: 		
0x018E	0x084C      	MOVF       UART1_Write_Text_data__L0, 0
0x018F	0x00E7      	MOVWF      FARG_UART1_Write_data_
0x0190	0x2024      	CALL       _UART1_Write
;__Lib_UART_c67.c,53 :: 		
0x0191	0x0ACD      	INCF       UART1_Write_Text_counter_L0, 1
;__Lib_UART_c67.c,54 :: 		
0x0192	0x084D      	MOVF       UART1_Write_Text_counter_L0, 0
0x0193	0x074B      	ADDWF      FARG_UART1_Write_Text_uart_text, 0
0x0194	0x0084      	MOVWF      FSR
0x0195	0x0800      	MOVF       INDF, 0
0x0196	0x00CC      	MOVWF      UART1_Write_Text_data__L0
;__Lib_UART_c67.c,55 :: 		
0x0197	0x298A      	GOTO       L_UART1_Write_Text5
L_UART1_Write_Text6:
;__Lib_UART_c67.c,56 :: 		
0x0198	0x0008      	RETURN
; end of _UART1_Write_Text
_Data_Write:
;TP_memory.c,65 :: 		void Data_Write(char * lattitude, char * longitude)
;TP_memory.c,67 :: 		Data_Eeprom_Write(lattitude);
0x0199	0x1283      	BCF        STATUS, 5
0x019A	0x1303      	BCF        STATUS, 6
0x019B	0x084B      	MOVF       FARG_Data_Write_lattitude, 0
0x019C	0x00E7      	MOVWF      FARG_Data_Eeprom_Write_donnees
0x019D	0x2077      	CALL       _Data_Eeprom_Write
;TP_memory.c,68 :: 		Data_Eeprom_Write(longitude);
0x019E	0x084C      	MOVF       FARG_Data_Write_longitude, 0
0x019F	0x00E7      	MOVWF      FARG_Data_Eeprom_Write_donnees
0x01A0	0x2077      	CALL       _Data_Eeprom_Write
;TP_memory.c,69 :: 		}
0x01A1	0x0008      	RETURN
; end of _Data_Write
_I2C1_Stop:
;__Lib_I2C_c34.c,87 :: 		
;__Lib_I2C_c34.c,88 :: 		
0x01A2	0x1683      	BSF        STATUS, 5
0x01A3	0x1303      	BCF        STATUS, 6
0x01A4	0x1511      	BSF        SSPCON2, 2
;__Lib_I2C_c34.c,89 :: 		
0x01A5	0x0008      	RETURN
; end of _I2C1_Stop
_I2C1_Start:
;__Lib_I2C_c34.c,18 :: 		
;__Lib_I2C_c34.c,21 :: 		
0x01A6	0x1283      	BCF        STATUS, 5
0x01A7	0x1303      	BCF        STATUS, 6
0x01A8	0x01CB      	CLRF       I2C1_Start_j_L0
0x01A9	0x01CC      	CLRF       I2C1_Start_j_L0+1
L_I2C1_Start2:
0x01AA	0x084C      	MOVF       I2C1_Start_j_L0+1, 0
0x01AB	0x3C12      	SUBLW      18
0x01AC	0x1D03      	BTFSS      STATUS, 2
0x01AD	0x29B0      	GOTO       L__I2C1_Start24
0x01AE	0x084B      	MOVF       I2C1_Start_j_L0, 0
0x01AF	0x3C8E      	SUBLW      142
L__I2C1_Start24:
0x01B0	0x1C03      	BTFSS      STATUS, 0
0x01B1	0x29BC      	GOTO       L_I2C1_Start3
;__Lib_I2C_c34.c,22 :: 		
0x01B2	0x205A      	CALL       _I2C1_Is_Idle
0x01B3	0x0870      	MOVF       R0, 0
0x01B4	0x1903      	BTFSC      STATUS, 2
0x01B5	0x29B7      	GOTO       L_I2C1_Start5
;__Lib_I2C_c34.c,23 :: 		
0x01B6	0x29BC      	GOTO       L_I2C1_Start3
L_I2C1_Start5:
;__Lib_I2C_c34.c,21 :: 		
0x01B7	0x1283      	BCF        STATUS, 5
0x01B8	0x0ACB      	INCF       I2C1_Start_j_L0, 1
0x01B9	0x1903      	BTFSC      STATUS, 2
0x01BA	0x0ACC      	INCF       I2C1_Start_j_L0+1, 1
;__Lib_I2C_c34.c,24 :: 		
0x01BB	0x29AA      	GOTO       L_I2C1_Start2
L_I2C1_Start3:
0x01BC	0x1283      	BCF        STATUS, 5
;__Lib_I2C_c34.c,26 :: 		
0x01BD	0x3012      	MOVLW      18
0x01BE	0x024C      	SUBWF      I2C1_Start_j_L0+1, 0
0x01BF	0x1D03      	BTFSS      STATUS, 2
0x01C0	0x29C3      	GOTO       L__I2C1_Start25
0x01C1	0x308F      	MOVLW      143
0x01C2	0x024B      	SUBWF      I2C1_Start_j_L0, 0
L__I2C1_Start25:
0x01C3	0x1C03      	BTFSS      STATUS, 0
0x01C4	0x29C8      	GOTO       L_I2C1_Start6
;__Lib_I2C_c34.c,27 :: 		
0x01C5	0x307B      	MOVLW      123
0x01C6	0x00F0      	MOVWF      R0
0x01C7	0x0008      	RETURN
L_I2C1_Start6:
0x01C8	0x1683      	BSF        STATUS, 5
;__Lib_I2C_c34.c,29 :: 		
0x01C9	0x1411      	BSF        SSPCON2, 0
;__Lib_I2C_c34.c,30 :: 		
L_I2C1_Start8:
0x01CA	0x1C11      	BTFSS      SSPCON2, 0
0x01CB	0x29CD      	GOTO       L_I2C1_Start9
;__Lib_I2C_c34.c,31 :: 		
0x01CC	0x29CA      	GOTO       L_I2C1_Start8
L_I2C1_Start9:
;__Lib_I2C_c34.c,32 :: 		
0x01CD	0x01F0      	CLRF       R0
;__Lib_I2C_c34.c,34 :: 		
0x01CE	0x0008      	RETURN
; end of _I2C1_Start
_Lcd_Init:
;__Lib_Lcd.c,84 :: 		
;__Lib_Lcd.c,86 :: 		
0x01CF	0x1683      	BSF        STATUS, 5
0x01D0	0x1303      	BCF        STATUS, 6
0x01D1	0x1286      	BCF        LCD_EN_Direction, BitPos(LCD_EN_Direction+0)
;__Lib_Lcd.c,87 :: 		
0x01D2	0x1206      	BCF        LCD_RS_Direction, BitPos(LCD_RS_Direction+0)
;__Lib_Lcd.c,88 :: 		
0x01D3	0x1006      	BCF        LCD_D4_Direction, BitPos(LCD_D4_Direction+0)
;__Lib_Lcd.c,89 :: 		
0x01D4	0x1086      	BCF        LCD_D5_Direction, BitPos(LCD_D5_Direction+0)
;__Lib_Lcd.c,90 :: 		
0x01D5	0x1106      	BCF        LCD_D6_Direction, BitPos(LCD_D6_Direction+0)
;__Lib_Lcd.c,91 :: 		
0x01D6	0x1186      	BCF        LCD_D7_Direction, BitPos(LCD_D7_Direction+0)
;__Lib_Lcd.c,93 :: 		
0x01D7	0x1283      	BCF        STATUS, 5
0x01D8	0x1286      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,94 :: 		
0x01D9	0x1206      	BCF        LCD_RS, BitPos(LCD_RS+0)
;__Lib_Lcd.c,95 :: 		
0x01DA	0x1186      	BCF        LCD_D7, BitPos(LCD_D7+0)
;__Lib_Lcd.c,96 :: 		
0x01DB	0x1106      	BCF        LCD_D6, BitPos(LCD_D6+0)
;__Lib_Lcd.c,97 :: 		
0x01DC	0x1086      	BCF        LCD_D5, BitPos(LCD_D5+0)
;__Lib_Lcd.c,98 :: 		
0x01DD	0x1006      	BCF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,100 :: 		
0x01DE	0x206A      	CALL       _Delay_5500us
;__Lib_Lcd.c,101 :: 		
0x01DF	0x206A      	CALL       _Delay_5500us
;__Lib_Lcd.c,102 :: 		
0x01E0	0x206A      	CALL       _Delay_5500us
;__Lib_Lcd.c,105 :: 		
0x01E1	0x1486      	BSF        LCD_D5, BitPos(LCD_D5+0)
;__Lib_Lcd.c,106 :: 		
0x01E2	0x1406      	BSF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,107 :: 		
0x01E3	0x1686      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,108 :: 		
0x01E4	0x2091      	CALL       _Delay_1us
;__Lib_Lcd.c,109 :: 		
0x01E5	0x1286      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,110 :: 		
0x01E6	0x206A      	CALL       _Delay_5500us
;__Lib_Lcd.c,112 :: 		
0x01E7	0x1686      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,113 :: 		
0x01E8	0x2091      	CALL       _Delay_1us
;__Lib_Lcd.c,114 :: 		
0x01E9	0x1286      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,115 :: 		
0x01EA	0x206A      	CALL       _Delay_5500us
;__Lib_Lcd.c,117 :: 		
0x01EB	0x1686      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,118 :: 		
0x01EC	0x2091      	CALL       _Delay_1us
;__Lib_Lcd.c,119 :: 		
0x01ED	0x1286      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,120 :: 		
0x01EE	0x206A      	CALL       _Delay_5500us
;__Lib_Lcd.c,123 :: 		
0x01EF	0x1006      	BCF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,124 :: 		
0x01F0	0x1686      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,125 :: 		
0x01F1	0x2091      	CALL       _Delay_1us
;__Lib_Lcd.c,126 :: 		
0x01F2	0x1286      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,127 :: 		
0x01F3	0x206A      	CALL       _Delay_5500us
;__Lib_Lcd.c,130 :: 		
0x01F4	0x1686      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,131 :: 		
0x01F5	0x2091      	CALL       _Delay_1us
;__Lib_Lcd.c,132 :: 		
0x01F6	0x1286      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,134 :: 		
0x01F7	0x1086      	BCF        LCD_D5, BitPos(LCD_D5+0)
;__Lib_Lcd.c,135 :: 		
0x01F8	0x1586      	BSF        LCD_D7, BitPos(LCD_D7+0)
;__Lib_Lcd.c,136 :: 		
0x01F9	0x1686      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,137 :: 		
0x01FA	0x2091      	CALL       _Delay_1us
;__Lib_Lcd.c,138 :: 		
0x01FB	0x1286      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,139 :: 		
0x01FC	0x206A      	CALL       _Delay_5500us
;__Lib_Lcd.c,142 :: 		
0x01FD	0x1186      	BCF        LCD_D7, BitPos(LCD_D7+0)
;__Lib_Lcd.c,143 :: 		
0x01FE	0x1406      	BSF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,144 :: 		
0x01FF	0x1686      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,145 :: 		
0x0200	0x2091      	CALL       _Delay_1us
;__Lib_Lcd.c,146 :: 		
0x0201	0x1286      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,148 :: 		
0x0202	0x1006      	BCF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,149 :: 		
0x0203	0x1686      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,150 :: 		
0x0204	0x2091      	CALL       _Delay_1us
;__Lib_Lcd.c,151 :: 		
0x0205	0x1286      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,152 :: 		
0x0206	0x206A      	CALL       _Delay_5500us
;__Lib_Lcd.c,155 :: 		
0x0207	0x1686      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,156 :: 		
0x0208	0x2091      	CALL       _Delay_1us
;__Lib_Lcd.c,157 :: 		
0x0209	0x1286      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,159 :: 		
0x020A	0x1406      	BSF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,160 :: 		
0x020B	0x1686      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,161 :: 		
0x020C	0x2091      	CALL       _Delay_1us
;__Lib_Lcd.c,162 :: 		
0x020D	0x1286      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,163 :: 		
0x020E	0x206A      	CALL       _Delay_5500us
;__Lib_Lcd.c,166 :: 		
0x020F	0x1006      	BCF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,167 :: 		
0x0210	0x1686      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,168 :: 		
0x0211	0x2091      	CALL       _Delay_1us
;__Lib_Lcd.c,169 :: 		
0x0212	0x1286      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,171 :: 		
0x0213	0x1586      	BSF        LCD_D7, BitPos(LCD_D7+0)
;__Lib_Lcd.c,172 :: 		
0x0214	0x1506      	BSF        LCD_D6, BitPos(LCD_D6+0)
;__Lib_Lcd.c,173 :: 		
0x0215	0x1486      	BSF        LCD_D5, BitPos(LCD_D5+0)
;__Lib_Lcd.c,174 :: 		
0x0216	0x1406      	BSF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,175 :: 		
0x0217	0x1686      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,176 :: 		
0x0218	0x2091      	CALL       _Delay_1us
;__Lib_Lcd.c,177 :: 		
0x0219	0x1286      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,179 :: 		
0x021A	0x206A      	CALL       _Delay_5500us
;__Lib_Lcd.c,181 :: 		
0x021B	0x1436      	BSF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,182 :: 		
0x021C	0x0008      	RETURN
; end of _Lcd_Init
_UART1_Read:
;__Lib_UART_c67.c,21 :: 		
;__Lib_UART_c67.c,24 :: 		
0x021D	0x1283      	BCF        STATUS, 5
0x021E	0x1303      	BCF        STATUS, 6
0x021F	0x081A      	MOVF       RCREG, 0
0x0220	0x00F1      	MOVWF      R1
;__Lib_UART_c67.c,25 :: 		
0x0221	0x1C98      	BTFSS      RCSTA, 1
0x0222	0x2A25      	GOTO       L_UART1_Read2
;__Lib_UART_c67.c,26 :: 		
0x0223	0x1218      	BCF        RCSTA, 4
;__Lib_UART_c67.c,27 :: 		
0x0224	0x1618      	BSF        RCSTA, 4
;__Lib_UART_c67.c,28 :: 		
L_UART1_Read2:
;__Lib_UART_c67.c,29 :: 		
0x0225	0x0871      	MOVF       R1, 0
0x0226	0x00F0      	MOVWF      R0
;__Lib_UART_c67.c,30 :: 		
0x0227	0x0008      	RETURN
; end of _UART1_Read
_I2C1_Init:
;__Lib_I2C_c34.c,2 :: 		
;__Lib_I2C_c34.c,3 :: 		
0x0228	0x1683      	BSF        STATUS, 5
0x0229	0x1303      	BCF        STATUS, 6
0x022A	0x1314      	BCF        SSPSTAT, 6
;__Lib_I2C_c34.c,4 :: 		
0x022B	0x1394      	BCF        SSPSTAT, 7
;__Lib_I2C_c34.c,5 :: 		
0x022C	0x1607      	BSF        TRISC4_bit, 4
;__Lib_I2C_c34.c,6 :: 		
0x022D	0x1587      	BSF        TRISC3_bit, 3
;__Lib_I2C_c34.c,7 :: 		
0x022E	0x3038      	MOVLW      56
0x022F	0x1283      	BCF        STATUS, 5
0x0230	0x0094      	MOVWF      SSPCON
;__Lib_I2C_c34.c,9 :: 		
0x0231	0x0008      	RETURN
; end of _I2C1_Init
_main:
0x0232	0x1283      	BCF        STATUS, 5
0x0233	0x1303      	BCF        STATUS, 6
0x0234	0x01A0      	CLRF       _adresse
0x0235	0x01A1      	CLRF       _longitude_ptr
0x0236	0x01A2      	CLRF       34
0x0237	0x01A3      	CLRF       _lattitude_ptr
0x0238	0x01A4      	CLRF       36
;TP_memory.c,99 :: 		void main()
;TP_memory.c,101 :: 		char good_trame = 0;
0x0239	0x01C9      	CLRF       main_good_trame_L0
0x023A	0x01CA      	CLRF       main_g_counter_L0
;TP_memory.c,105 :: 		UART1_Init(9600);               // Initialize UART module at 9600 bps
0x023B	0x3033      	MOVLW      51
0x023C	0x1683      	BSF        STATUS, 5
0x023D	0x0099      	MOVWF      SPBRG
0x023E	0x1518      	BSF        TXSTA, 2
0x023F	0x20FF      	CALL       _UART1_Init
;TP_memory.c,106 :: 		Delay_ms(100);                  // Wait for UART module to stabilize
0x0240	0x3002      	MOVLW      2
0x0241	0x00FB      	MOVWF      R11
0x0242	0x3004      	MOVLW      4
0x0243	0x00FC      	MOVWF      R12
0x0244	0x30BA      	MOVLW      186
0x0245	0x00FD      	MOVWF      R13
L_main8:
0x0246	0x0BFD      	DECFSZ     R13, 1
0x0247	0x2A46      	GOTO       L_main8
0x0248	0x0BFC      	DECFSZ     R12, 1
0x0249	0x2A46      	GOTO       L_main8
0x024A	0x0BFB      	DECFSZ     R11, 1
0x024B	0x2A46      	GOTO       L_main8
0x024C	0x0000      	NOP
;TP_memory.c,116 :: 		Lcd_Init();                        // Initialize LCD
0x024D	0x21CF      	CALL       _Lcd_Init
;TP_memory.c,118 :: 		Lcd_Cmd(_LCD_CLEAR);               // Clear display
0x024E	0x3001      	MOVLW      1
0x024F	0x00CB      	MOVWF      FARG_Lcd_Cmd_out_char
0x0250	0x20B8      	CALL       _Lcd_Cmd
;TP_memory.c,119 :: 		Lcd_Cmd(_LCD_CURSOR_OFF);          // Cursor off
0x0251	0x300C      	MOVLW      12
0x0252	0x00CB      	MOVWF      FARG_Lcd_Cmd_out_char
0x0253	0x20B8      	CALL       _Lcd_Cmd
;TP_memory.c,121 :: 		counter = 0;
0x0254	0x01C7      	CLRF       _counter
0x0255	0x01C8      	CLRF       _counter+1
;TP_memory.c,129 :: 		I2C1_Init(100000);         // initialize I2C communication
0x0256	0x3014      	MOVLW      20
0x0257	0x1683      	BSF        STATUS, 5
0x0258	0x0093      	MOVWF      SSPADD
0x0259	0x2228      	CALL       _I2C1_Init
;TP_memory.c,130 :: 		I2C1_Start();              // issue I2C start signal
0x025A	0x21A6      	CALL       _I2C1_Start
;TP_memory.c,131 :: 		I2C1_Wr(0xA2);             // send byte via I2C  (device address + W)
0x025B	0x30A2      	MOVLW      162
0x025C	0x1283      	BCF        STATUS, 5
0x025D	0x1303      	BCF        STATUS, 6
0x025E	0x00CB      	MOVWF      FARG_I2C1_Wr_data_
0x025F	0x209B      	CALL       _I2C1_Wr
;TP_memory.c,132 :: 		I2C1_Wr(0x02);             // send byte (address of EEPROM location)
0x0260	0x3002      	MOVLW      2
0x0261	0x1283      	BCF        STATUS, 5
0x0262	0x00CB      	MOVWF      FARG_I2C1_Wr_data_
0x0263	0x209B      	CALL       _I2C1_Wr
;TP_memory.c,133 :: 		I2C1_Wr(0x4A);             // send data (data to be written)
0x0264	0x304A      	MOVLW      74
0x0265	0x1283      	BCF        STATUS, 5
0x0266	0x00CB      	MOVWF      FARG_I2C1_Wr_data_
0x0267	0x209B      	CALL       _I2C1_Wr
;TP_memory.c,134 :: 		I2C1_Stop();               // issue I2C stop signal
0x0268	0x21A2      	CALL       _I2C1_Stop
;TP_memory.c,136 :: 		Delay_100ms();
0x0269	0x210F      	CALL       _Delay_100ms
;TP_memory.c,138 :: 		I2C1_Start();              // issue I2C start signal
0x026A	0x21A6      	CALL       _I2C1_Start
;TP_memory.c,139 :: 		I2C1_Wr(0xA2);             // send byte via I2C  (device address + W)
0x026B	0x30A2      	MOVLW      162
0x026C	0x1283      	BCF        STATUS, 5
0x026D	0x1303      	BCF        STATUS, 6
0x026E	0x00CB      	MOVWF      FARG_I2C1_Wr_data_
0x026F	0x209B      	CALL       _I2C1_Wr
;TP_memory.c,140 :: 		I2C1_Wr(2);                // send byte (data address)
0x0270	0x3002      	MOVLW      2
0x0271	0x1283      	BCF        STATUS, 5
0x0272	0x00CB      	MOVWF      FARG_I2C1_Wr_data_
0x0273	0x209B      	CALL       _I2C1_Wr
;TP_memory.c,141 :: 		I2C1_Repeated_Start();     // issue I2C signal repeated start
0x0274	0x20B1      	CALL       _I2C1_Repeated_Start
;TP_memory.c,142 :: 		I2C1_Wr(0xA3);             // send byte (device address + R)
0x0275	0x30A3      	MOVLW      163
0x0276	0x1283      	BCF        STATUS, 5
0x0277	0x00CB      	MOVWF      FARG_I2C1_Wr_data_
0x0278	0x209B      	CALL       _I2C1_Wr
;TP_memory.c,143 :: 		UART1_Write(I2C1_Rd(0u));       // Read the data (NO acknowledge)
0x0279	0x1283      	BCF        STATUS, 5
0x027A	0x01CB      	CLRF       FARG_I2C1_Rd_ack
0x027B	0x211F      	CALL       _I2C1_Rd
0x027C	0x0870      	MOVF       R0, 0
0x027D	0x00E7      	MOVWF      FARG_UART1_Write_data_
0x027E	0x2024      	CALL       _UART1_Write
;TP_memory.c,144 :: 		I2C1_Stop();               // issue I2C stop signal
0x027F	0x21A2      	CALL       _I2C1_Stop
;TP_memory.c,148 :: 		while (1)
L_main9:
;TP_memory.c,150 :: 		if (UART1_Data_Ready())      // If data is received,
0x0280	0x20F8      	CALL       _UART1_Data_Ready
0x0281	0x0870      	MOVF       R0, 0
0x0282	0x1903      	BTFSC      STATUS, 2
0x0283	0x2B51      	GOTO       L_main11
;TP_memory.c,152 :: 		uart_rd = UART1_Read();     // read the received data,
0x0284	0x221D      	CALL       _UART1_Read
0x0285	0x0870      	MOVF       R0, 0
0x0286	0x00C6      	MOVWF      _uart_rd
;TP_memory.c,154 :: 		if (uart_rd == '$')         // if we read a gps frame
0x0287	0x0870      	MOVF       R0, 0
0x0288	0x3A24      	XORLW      36
0x0289	0x1D03      	BTFSS      STATUS, 2
0x028A	0x2A99      	GOTO       L_main12
;TP_memory.c,156 :: 		counter = 0;          // counter initialization
0x028B	0x01C7      	CLRF       _counter
0x028C	0x01C8      	CLRF       _counter+1
;TP_memory.c,157 :: 		UART1_Write(13);
0x028D	0x300D      	MOVLW      13
0x028E	0x00E7      	MOVWF      FARG_UART1_Write_data_
0x028F	0x2024      	CALL       _UART1_Write
;TP_memory.c,158 :: 		UART1_Write(10);
0x0290	0x300A      	MOVLW      10
0x0291	0x00E7      	MOVWF      FARG_UART1_Write_data_
0x0292	0x2024      	CALL       _UART1_Write
;TP_memory.c,159 :: 		lattitude_ptr = 0;
0x0293	0x01A3      	CLRF       _lattitude_ptr
0x0294	0x01A4      	CLRF       _lattitude_ptr+1
;TP_memory.c,160 :: 		longitude_ptr = 0;
0x0295	0x01A1      	CLRF       _longitude_ptr
0x0296	0x01A2      	CLRF       _longitude_ptr+1
;TP_memory.c,161 :: 		g_counter = 0;
0x0297	0x01CA      	CLRF       main_g_counter_L0
;TP_memory.c,162 :: 		good_trame = 0;
0x0298	0x01C9      	CLRF       main_good_trame_L0
;TP_memory.c,163 :: 		}
L_main12:
;TP_memory.c,165 :: 		if( uart_rd == 'G')
0x0299	0x0846      	MOVF       _uart_rd, 0
0x029A	0x3A47      	XORLW      71
0x029B	0x1D03      	BTFSS      STATUS, 2
0x029C	0x2A9E      	GOTO       L_main13
;TP_memory.c,167 :: 		++g_counter;
0x029D	0x0ACA      	INCF       main_g_counter_L0, 1
;TP_memory.c,168 :: 		}
L_main13:
;TP_memory.c,170 :: 		if (g_counter == 3 && counter == 0)
0x029E	0x084A      	MOVF       main_g_counter_L0, 0
0x029F	0x3A03      	XORLW      3
0x02A0	0x1D03      	BTFSS      STATUS, 2
0x02A1	0x2AAC      	GOTO       L_main16
0x02A2	0x3000      	MOVLW      0
0x02A3	0x0648      	XORWF      _counter+1, 0
0x02A4	0x1D03      	BTFSS      STATUS, 2
0x02A5	0x2AA8      	GOTO       L__main40
0x02A6	0x3000      	MOVLW      0
0x02A7	0x0647      	XORWF      _counter, 0
L__main40:
0x02A8	0x1D03      	BTFSS      STATUS, 2
0x02A9	0x2AAC      	GOTO       L_main16
L__main38:
;TP_memory.c,172 :: 		good_trame = 1;
0x02AA	0x3001      	MOVLW      1
0x02AB	0x00C9      	MOVWF      main_good_trame_L0
;TP_memory.c,173 :: 		}
L_main16:
;TP_memory.c,175 :: 		if (uart_rd == ',')        // word separation symbole
0x02AC	0x0846      	MOVF       _uart_rd, 0
0x02AD	0x3A2C      	XORLW      44
0x02AE	0x1D03      	BTFSS      STATUS, 2
0x02AF	0x2AC1      	GOTO       L_main17
;TP_memory.c,177 :: 		++counter;             // update counter
0x02B0	0x0AC7      	INCF       _counter, 1
0x02B1	0x1903      	BTFSC      STATUS, 2
0x02B2	0x0AC8      	INCF       _counter+1, 1
;TP_memory.c,178 :: 		if (counter == 4)        // add space between results
0x02B3	0x3000      	MOVLW      0
0x02B4	0x0648      	XORWF      _counter+1, 0
0x02B5	0x1D03      	BTFSS      STATUS, 2
0x02B6	0x2AB9      	GOTO       L__main41
0x02B7	0x3004      	MOVLW      4
0x02B8	0x0647      	XORWF      _counter, 0
L__main41:
0x02B9	0x1D03      	BTFSS      STATUS, 2
0x02BA	0x2AC1      	GOTO       L_main18
;TP_memory.c,180 :: 		UART1_Write(13);
0x02BB	0x300D      	MOVLW      13
0x02BC	0x00E7      	MOVWF      FARG_UART1_Write_data_
